schedule,min,1A,2A,2B,3A,3B,3C,4A,4B,4C,5A,5B,6A,6B,7A,8A,schedule,max,1A,2A,2B,3A,3B,3C,4A,4B,4C,5A,5B,6A,6B,7A,8A,schedule,default,1A,2A,2B,3A,3B,3C,4A,4B,4C,5A,5B,6A,6B,7A,8A
MediumOfficeBldgEquip,MediumOfficeBldgEquip,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,MediumOfficeBldgEquip,MediumOfficeBldgEquip,1.1112,1.1112,1.1112,1.1112,1.1112,1.1112,1.1112,1.1112,1.1112,1.1112,1.1112,1.1112,1.1112,1.1112,1.1112,MediumOfficeBldgEquip,MediumOfficeBldgEquip,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MediumOfficeBldgSwh,MediumOfficeBldgSwh,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,MediumOfficeBldgSwh,MediumOfficeBldgSwh,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,MediumOfficeBldgSwh,MediumOfficeBldgSwh,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MediumOfficeBldgOcc,MediumOfficeBldgOcc,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,MediumOfficeBldgOcc,MediumOfficeBldgOcc,1.0527,1.0527,1.0527,1.0527,1.0527,1.0527,1.0527,1.0527,1.0527,1.0527,1.0527,1.0527,1.0527,1.0527,1.0527,MediumOfficeBldgOcc,MediumOfficeBldgOcc,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HtgSetp,HtgSetp,0.9857,0.9857,0.9857,0.9857,0.9857,0.9857,0.9857,0.9857,0.9857,0.9857,0.9857,0.9857,0.9857,0.9857,0.9857,HtgSetp,HtgSetp,1.02857,1.02857,1.02857,1.02857,1.02857,1.02857,1.02857,1.02857,1.02857,1.02857,1.02857,1.02857,1.02857,1.02857,1.02857,HtgSetp,HtgSetp,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ClgSetp,ClgSetp,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,ClgSetp,ClgSetp,1.01333,1.01333,1.01333,1.01333,1.01333,1.01333,1.01333,1.01333,1.01333,1.01333,1.01333,1.01333,1.01333,1.01333,1.01333,ClgSetp,ClgSetp,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
OfficeBldgLight,OfficeBldgLight,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,OfficeBldgLight,OfficeBldgLight,1.1112,1.1112,1.1112,1.1112,1.1112,1.1112,1.1112,1.1112,1.1112,1.1112,1.1112,1.1112,1.1112,1.1112,1.1112,OfficeBldgLight,OfficeBldgLight,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
